0,1,ma1_5,ma1_7,ma1_10,ma1_20
2011-03-28,81.75,81.29800000000003,81.18999999999993,81.10199999999999,81.3975
2011-03-29,81.7,81.44600000000004,81.29571428571421,81.184,81.34
2011-03-30,82.98,81.84600000000003,81.59571428571421,81.39399999999999,81.348
2011-03-31,82.67,82.10000000000005,81.83999999999992,81.56799999999998,81.34150000000001
2011-04-01,83.72,82.56400000000005,82.2314285714285,81.84399999999998,81.44500000000001
2011-04-02,84.18,83.05000000000005,82.62857142857136,82.17399999999999,81.5715
2011-04-03,84.18,83.54600000000006,83.02571428571422,82.49599999999998,81.67500000000001
2011-04-04,84.24,83.79800000000006,83.3814285714285,82.82199999999997,81.81450000000001
2011-04-05,84.39,84.14200000000005,83.76571428571421,83.12099999999998,81.99300000000002
2011-04-06,85.39,84.47600000000004,84.10999999999991,83.51999999999998,82.31350000000002
2011-04-07,85.27,84.69400000000005,84.4814285714285,83.87199999999999,82.48700000000002
2011-04-08,85.11,84.88000000000004,84.67999999999992,84.21299999999998,82.69850000000001
2011-04-09,84.86,85.00400000000005,84.77714285714276,84.40099999999998,82.89750000000001
2011-04-10,84.86,85.09800000000004,84.87428571428563,84.61999999999998,83.09400000000001
2011-04-11,84.7,84.96000000000005,84.93999999999993,84.71799999999999,83.281
2011-04-12,83.84,84.67400000000005,84.8614285714285,84.684,83.429
2011-04-13,83.95,84.44200000000004,84.65571428571423,84.66099999999999,83.57849999999999
2011-04-14,83.58,84.18600000000004,84.41428571428567,84.595,83.70849999999999
2011-04-15,83.38,83.89000000000003,84.1671428571428,84.494,83.80749999999998
2011-04-16,83.22,83.59400000000004,83.93285714285709,84.277,83.89849999999998
2011-04-17,83.22,83.47000000000003,83.69857142857138,84.072,83.97199999999998
2011-04-18,82.96,83.27200000000002,83.44999999999995,83.857,84.03499999999998
2011-04-19,82.4,83.03600000000003,83.24428571428565,83.611,84.00599999999999
2011-04-20,82.96,82.95200000000003,83.10285714285708,83.421,84.02049999999998
2011-04-21,82.26,82.76000000000002,82.91428571428564,83.17699999999999,83.94749999999998
2011-04-22,81.84,82.48400000000001,82.69428571428566,82.977,83.83049999999997
2011-04-23,81.82,82.25600000000001,82.49428571428565,82.76399999999998,83.71249999999996
2011-04-24,81.82,82.14000000000001,82.29428571428564,82.58799999999998,83.59149999999997
2011-04-25,82.21,81.99000000000001,82.18714285714279,82.47099999999998,83.48249999999996
2011-04-26,81.6,81.85800000000002,82.07285714285707,82.30899999999998,83.29299999999995
2011-04-27,81.53,81.796,81.86857142857136,82.13999999999997,83.10599999999995
2011-04-28,81.76,81.784,81.79714285714279,82.01999999999997,82.93849999999995
2011-04-29,81.53,81.72600000000001,81.75285714285705,81.93299999999996,82.77199999999996
2011-04-30,81.11,81.50600000000001,81.6514285714285,81.74799999999996,82.58449999999996
2011-05-01,81.11,81.40800000000002,81.54999999999993,81.63299999999997,82.40499999999994
2011-05-02,81.44,81.39000000000001,81.43999999999993,81.59299999999998,82.28499999999995
2011-05-03,81.04,81.24600000000001,81.35999999999991,81.51499999999996,82.13949999999996
2011-05-04,80.96,81.13200000000002,81.27857142857135,81.42899999999997,82.00849999999996
2011-05-05,80.48,81.00600000000001,81.09571428571421,81.25599999999997,81.86349999999996
2011-05-06,80.37,80.85800000000002,80.92999999999994,81.13299999999997,81.72099999999995
2011-05-07,80.62,80.69400000000002,80.85999999999993,81.04199999999997,81.59099999999995
2011-05-08,80.62,80.61000000000001,80.78999999999994,80.92799999999997,81.47399999999996
2011-05-09,80.58,80.53400000000002,80.6671428571428,80.83299999999998,81.38299999999995
2011-05-10,80.4,80.518,80.57571428571423,80.76199999999997,81.25499999999995
2011-05-11,80.85,80.614,80.55999999999995,80.73599999999998,81.18449999999994
2011-05-12,81.15,80.72,80.65571428571423,80.70699999999997,81.14999999999995
2011-05-13,80.88,80.772,80.72857142857137,80.69099999999997,81.10299999999997
2011-05-14,80.87,80.83000000000001,80.76428571428565,80.68199999999997,81.05549999999997
2011-05-15,80.87,80.924,80.79999999999994,80.72099999999998,80.98849999999997
2011-05-16,80.96,80.946,80.85428571428565,80.77999999999997,80.95649999999998
2011-05-17,81.14,80.944,80.95999999999994,80.83199999999997,80.93699999999998
2011-05-18,81.11,80.99000000000001,80.99714285714279,80.88099999999997,80.90449999999998
2011-05-19,81.55,81.126,81.05428571428565,80.97799999999997,80.90549999999999
2011-05-20,81.66,81.28400000000002,81.16571428571422,81.10399999999996,80.93299999999999
2011-05-21,81.79,81.45000000000002,81.29714285714279,81.19799999999995,80.967
2011-05-22,81.79,81.58000000000003,81.42857142857135,81.26199999999996,80.9845
2011-05-23,81.96,81.75000000000003,81.57142857142848,81.36999999999996,81.03049999999999
2011-05-24,81.77,81.79400000000001,81.66142857142849,81.45999999999995,81.071
